Avg_4_headway,Avg_3_speed,Avg_0_speed,Total_Crashed_Cras,Avg_2_headway,time/iterations,Avg_1_headway,Total_Lane_Changes,time/time_elapsed,Avg_1_speed,time/total_timesteps,Avg_3_headway,Avg_2_speed,time/fps,Avg_0_headway,Avg_4_speed,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/n_updates
0.0,9.778839804426504,10.194842050871488,4,209.08442532431096,1,89.15685784269121,160.0,4,10.013393402712053,44,239.67586558367535,9.857024337188356,9,155.3443577876846,9.778839804426504,,,,,,,,,,,,
0.0,6.925265126064563,4.103151401994808,4,244.86809081430988,2,189.8541532516823,5.0,9,5.3752179470638275,93,576.3352360657454,6.408582733064318,10,234.97501401763674,6.925265126064563,-47.093401,44.0,,,,,,,,,,
0.0,9.565654919914861,7.546717058036768,4,186.657044945666,3,130.45490714859565,249.0,13,8.456457313177582,144,417.98973030307576,9.195922384335775,10,272.1612325922508,9.565654919914861,-43.6030455,46.5,,,,,,,,,,
0.0,4.707340392090936,5.163579477390283,4,195.91417543800185,4,238.13724864695303,5.0,18,4.943427700156761,193,305.7744989887335,4.786036161446211,10,6.675911446020564,4.707340392090936,-48.351607333333334,48.0,,,,,,,,,,
0.0,12.125207109949196,10.952090333868718,4,91.97523063430117,5,203.50553140495484,199.0,22,11.479937805262509,236,335.3664173300647,11.910117341720301,10,356.87071486042794,12.125207109949196,-43.670812,48.25,,,,,,,,,,
0.0,16.511515522167684,15.535732281048993,2,388.39497586521475,6,297.5285108946489,5.0,28,16.032279522658772,296,324.08111958011887,16.494204280066818,10,436.65411141725076,16.511515522167684,-45.9642638,47.2,,,,,,,,,,
0.0,15.21089616198881,14.541196686292395,3,258.79437730364515,7,204.823597574897,281.0,33,14.859657892479646,356,194.98230291340897,15.175777026811051,10,425.3049651633169,15.21089616198881,-43.66629383333333,49.333333333333336,,,,,,,,,,
190.60554507933966,6.070540424102248,5.279041374123027,4,445.5055992058501,8,94.27971183580087,5.0,37,5.5168838371699245,399,0.0,5.793712130636086,10,423.36245073677105,5.793712130636086,-43.07190671428571,50.857142857142854,,,,,,,,,,
3.1246810668744205,11.376339071377132,8.959329092066119,4,369.2795814012178,9,218.21646828569425,273.0,43,10.047880166128694,459,249.2544358347015,10.932006713379208,10,172.45184483349544,11.371800902631787,-41.24794375,49.875,,,,,,,,,,
0.0,5.095391085409498,4.39334785475242,4,376.8018034520036,10,178.65430608057568,5.0,46,4.712375375911129,484,65.97856000175375,4.967719182243375,10,132.712478341816,5.095391085409498,-43.799751444444446,51.0,,,,,,,,,,
,,,,,1,,,48,,512,,,10,,,-41.822415899999996,48.4,,,,,,,,,,
0.0,10.069626017534844,8.219860256728596,4,242.32063638562033,11,126.25334818228463,294.0,52,9.053417766633453,544,386.17454970562613,9.730889933901043,10,190.50104746088806,10.069626017534844,-41.822415899999996,48.4,0.2,0.4703125,0.0003,-8.04446063041687,47.17383453845978,14.21072006225586,0.030413033,-0.10973247567890212,-0.0210801362991333,10
0.0,4.790835917343649,5.978074731047242,4,335.44547244105433,12,119.19270126432525,5.0,54,5.441651661692889,569,14.149901630474005,5.007774498793395,10,63.55558610805508,4.790835917343649,-41.684152909090905,49.45454545454545,,,,,,,,,,
0.0,11.789984751745235,10.67121735861134,4,222.10430817238984,13,212.33847793067326,297.0,60,11.489547198354925,629,310.45965936752697,11.689838900615127,10,412.67241063076204,11.789984751745235,-41.10395908333333,47.416666666666664,,,,,,,,,,
35.16318024827797,4.520230292771156,5.380985694733772,4,142.43434741966325,14,263.87980695207125,5.0,65,4.942953598141648,674,0.0,4.731591945456403,10,575.033036286456,4.731591945456403,-43.33415046153846,48.38461538461539,,,,,,,,,,
0.6894741225152543,10.70677449674016,8.529441657484538,4,310.55930091060515,15,218.55658566096417,240.0,70,9.510837642009673,724,243.47291520171422,10.309510327207027,10,191.98930684627464,10.710918842871243,-42.99309621428571,48.142857142857146,,,,,,,,,,
0.0,4.422247021292705,5.615254765950064,4,270.00055534001274,16,144.24274028410764,5.0,73,5.07622437851693,757,130.24645178761716,4.64023947370078,10,14.001536743207225,4.422247021292705,-43.737854266666666,48.266666666666666,,,,,,,,,,
0.0,8.747010745166328,9.812582955278463,4,202.98555436475,17,70.06829689237988,228.0,78,9.336808653966132,803,164.19086049508965,8.943610048099599,10,167.6979129170465,8.747010745166328,-43.0103931875,47.3125,,,,,,,,,,
0.0,6.248003386436587,5.367302688029476,4,284.16216097873246,18,300.10239457170655,5.0,80,5.767517081634493,828,72.20622590231187,6.087841284835889,10,208.23514992053134,6.248003386436587,-46.20954294117647,47.23529411764706,,,,,,,,,,
0.0,13.194717445246043,11.000766680750353,4,311.0342502645425,19,206.95079835617602,167.0,84,11.991426031514575,863,192.83490690368228,12.793620307335553,10,128.11358000434225,13.194717445246043,-44.63676233333334,46.0,,,,,,,,,,
0.0,26.458498739519293,26.372926841653676,1,178.15095215632368,20,204.51992491427632,4.0,84,26.410621279950576,869,202.8676283108706,26.44253958632972,10,185.59984906931965,26.458498739519293,-43.90450421052631,45.421052631578945,,,,,,,,,,
0.0,15.461616729076777,14.670936486610948,4,196.98779495603486,21,234.6582165362917,160.0,88,15.043398642095184,903,211.72766684046246,15.423282193966864,10,265.50787890773285,15.461616729076777,-41.74354295,43.45,,,,,,,,,,
