rollout/exploration_rate,Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/episodes,time/time_elapsed,Total_Lane_Changes,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.8997299999999997,0.0,11,323.01113116534253,19,0,1,47.0,2,14.829899738951351,14.829899738951351,15.055458726995106,234.25055950480743,,,,,
0.8992500000000001,0.0,11,274.2220787280637,51,1,4,3.0,2,8.006275870892713,8.006275870892713,7.532067881862638,568.0419244253927,-3.009024,19.0,,,
0.8987999999999996,0.0,11,227.95713413377266,81,2,7,83.0,2,13.502122389912635,13.502122389912635,13.678361095382762,288.79896982291314,-6.2013535,25.5,,,
0.898695,0.0,11,258.43532862579667,88,3,7,1.0,2,17.2450333719503,17.2450333719503,17.473445333794118,293.1388932996948,-6.1825529999999995,27.0,,,
0.8986800000000004,,11,,88,4,7,,,,,,,-4.38310775,22.0,,,
0.8977949999999999,0.0,10,468.33686525658703,148,4,13,171.0,1,17.52037158114595,17.52037158114595,17.378107092891696,289.0956699507532,-4.38310775,22.0,11,0.18825438618659973,0.005
0.8971650000000001,0.0,10,214.1564841340861,190,5,17,3.0,2,8.134427544526497,8.134427544526497,7.6627758574807565,727.6874065125944,-0.9481105999999997,29.6,22,0.1558648645877838,0.005
0.8962650000000001,0.0,10,246.3325506571708,250,6,22,157.0,2,14.951218516207929,14.951218516207929,15.271662806645827,145.84773594794882,-6.030268833333333,31.666666666666668,37,0.1740035116672516,0.005
0.895365,138.93925427818294,10,0.0,310,7,28,3.0,2,0.006568091439024113,0.006568091439024113,24.853945205679192,370.36449819369034,-5.1208605714285715,35.714285714285715,52,0.0672600269317627,0.005
0.8953500000000003,,10,,310,8,28,,,,,,,-10.54216025,38.75,,,
0.8950949999999998,7.3125923304306815,10,275.77444599275844,328,8,29,50.0,2,12.33055214288378,12.33055214288378,13.224913567653955,350.1904995810101,-10.54216025,38.75,56,0.11452005803585052,0.005
0.8941949999999996,241.00028373300506,11,739.6716031965458,388,9,35,3.0,2,9.976321177923314,8.756852384313301,8.756852384313301,0.0,-10.161997888888889,36.44444444444444,71,0.07823711633682251,0.005
0.8932950000000004,3.950824323491886,11,165.33860102571208,448,10,40,163.0,2,15.407260914953781,15.387269623255259,15.090684253319374,443.0949785334665,-11.1957135,38.8,86,0.0677562952041626,0.005
0.8931599999999998,0.0,11,263.22101563691047,457,11,41,2.0,2,9.7134625174176,9.7134625174176,9.11533762513059,317.1592738968478,-10.210993181818182,40.72727272727273,89,0.07299021631479263,0.005
0.8931450000000003,,11,,457,12,41,,,,,,,-9.580043250000001,38.083333333333336,,,
0.8922599999999998,0.0,11,519.4624783712691,517,12,46,167.0,1,16.614947238618303,16.614947238618303,16.363480475328377,297.9158911164859,-9.580043250000001,38.083333333333336,104,0.10415219515562057,0.005
0.8913599999999997,0.0,11,663.025823762887,577,13,51,3.0,2,8.124747500845329,8.124747500845329,7.652902597348634,397.0368098261504,-8.912968,39.76923076923077,119,0.0599043145775795,0.005
0.8910000000000002,0.0,11,239.7240318228048,601,14,53,67.0,2,12.02416886651072,12.02416886651072,12.175092809744518,299.96248467592125,-8.669124142857143,41.214285714285715,125,0.09613697230815887,0.005
0.8901000000000001,0.0,11,711.8331542206648,661,15,59,3.0,1,16.149752165327136,16.149752165327136,16.00022256093556,338.9061036022308,-8.670238733333333,40.06666666666667,140,0.010600991547107697,0.005
0.8900849999999997,,11,,661,16,59,,,,,,,-7.756274625,41.3125,,,
0.8892,0.0,11,414.30948539891676,721,16,64,114.0,2,14.24449745161802,14.24449745161802,15.106425341155564,292.5187784695464,-7.756274625,41.3125,155,0.03856421634554863,0.005
0.8883,0.0,11,361.31491964455086,781,17,69,3.0,2,8.539311981419605,8.539311981419605,8.07523250219786,804.1329499803503,-7.922431176470589,42.411764705882355,170,0.06723923981189728,0.005
0.8874,0.0,11,297.63269931771026,841,18,75,175.0,1,17.648052470685954,17.648052470685954,17.938425962897973,349.3945197451718,-8.343661166666667,43.388888888888886,185,0.038495518267154694,0.005
0.88668,0.0,11,251.99358933599342,889,19,79,3.0,2,9.916307908472923,9.916307908472923,9.321720830550605,681.533001109316,-7.615537210526316,44.26315789473684,197,0.09789370000362396,0.005
0.8866650000000005,,11,,889,20,79,,,,,,,-8.371816200000001,44.45,,,
0.88578,0.0,11,311.3077595372462,949,20,84,172.0,2,16.303885439405125,16.303885439405125,16.848377132065654,316.28301475463894,-8.371816200000001,44.45,212,0.034590281546115875,0.005
0.8852849999999999,0.0,11,583.9062251546254,982,21,87,2.0,2,7.754696200817538,7.754696200817538,7.992774104265506,5.772861037437224,-8.056417761904763,45.19047619047619,220,0.05645797774195671,0.005
