time/episodes,Total_Lane_Changes,time/fps,time/total_timesteps,Total_Crashed_Cras,Avg_0_speed,Avg_1_speed,Avg_1_headway,Avg_2_headway,Avg_0_headway,Avg_2_speed,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
0,174.0,12,60,1,17.50245771967371,17.70129449376709,303.6122119928946,0.0,519.1932054248621,17.70129449376709,4,0.8991150000000003,,,,,
1,3.0,12,86,2,7.500999127082475,7.97581511627801,416.95701486801977,0.0,364.86056658562023,7.97581511627801,6,0.898725,60.0,7.690355,,,
2,55.0,12,107,2,14.208964159293286,14.155737605478684,277.719455656814,0.0,315.6516208049679,14.155737605478684,8,0.8984100000000002,43.0,0.8361529999999999,1,0.09821771830320358,0.005
3,3.0,12,137,2,8.490283308498785,8.25775425830734,259.0579645364195,0.0,110.72683060497855,8.25775425830734,11,0.8979599999999996,35.666666666666664,-0.07520233333333337,9,0.11638341844081879,0.005
4,,12,137,,,,,,,,11,0.897945,34.25,-1.6701920000000001,,,
4,171.0,12,195,2,10.191361049403008,10.494530242943739,95.81262144080917,56.98158978901639,539.3876427230899,10.059588823859093,16,0.8970899999999996,34.25,-1.6701920000000001,23,0.11181766539812088,0.005
5,3.0,12,255,2,9.312522113181268,10.513560227768508,0.0,173.2348454028454,606.5506300005434,9.312522113181268,20,0.8961900000000004,39.0,-7.737732800000001,38,0.10983113944530487,0.005
6,114.0,12,297,2,15.626644896495925,15.349184895065019,160.54537827108467,4.824690409316767,300.24675815236174,15.27685222359603,24,0.8955599999999997,42.5,-6.102181000000001,49,0.10060963779687881,0.005
7,3.0,12,336,2,9.918659884233403,9.621389818329998,177.83488881681762,0.0,106.63598412563078,9.621389818329998,27,0.8949750000000004,42.42857142857143,-5.8166144285714285,58,0.09124834090471268,0.005
8,,12,336,,,,,,,,27,0.89496,42.0,-6.203468875,,,
8,83.0,12,365,2,14.43915215288702,14.726942451676113,326.54072166781185,0.0,280.9984469835187,14.726942451676113,29,0.8945400000000003,42.0,-6.203468875,66,0.07939504086971283,0.005
9,3.0,11,425,2,10.504871871299095,9.30346740289053,228.09526253741637,4.933181429941669,0.0,9.30346740289053,35,0.8936400000000003,40.55555555555556,-5.382590888888889,81,0.039196111261844635,0.005
10,59.0,11,448,2,11.771460551864232,12.127328494562164,357.9680034675567,0.20554922624756955,282.57919129337273,12.127328494562164,37,0.8932950000000004,42.5,-6.7295546,86,0.072813019156456,0.005
11,3.0,11,460,2,9.528962255732157,9.306542436427481,285.78852532424,0.0,225.42570508172503,9.306542436427481,38,0.8931150000000002,40.72727272727273,-7.477311363636364,89,0.11793499439954758,0.005
12,,11,460,,,,,,,,38,0.8930999999999998,38.333333333333336,-6.658206583333334,,,
