time/episodes,Total_Lane_Changes,time/fps,time/total_timesteps,Total_Crashed_Cras,Avg_0_speed,Avg_1_speed,Avg_1_headway,Avg_2_headway,Avg_0_headway,Avg_2_speed,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean
0,169.0,12,60,2,14.205807719826932,14.572723658080871,749.9530951905456,0.0,381.5463832200185,14.572723658080871,4,0.8991150000000003,,,,,
1,3.0,11,120,1,17.781714658082635,18.055306038723863,517.0521277208538,0.0,818.5263260062218,18.055306038723863,10,0.8982150000000003,4,0.2390034794807434,60.0,0.005,-10.778258
2,170.0,11,180,1,18.635715530898928,18.77269447254868,502.08727342805867,0.0,700.9346786835763,18.77269447254868,15,0.8973150000000003,19,0.04371647536754608,60.0,0.005,8.5043975
3,3.0,11,240,2,7.984769356705314,7.7474507267117225,236.70427499952757,0.0,324.42213455842875,7.7474507267117225,20,0.8964150000000002,34,0.04516959190368652,60.0,0.005,10.407331
4,,11,240,,,,,,,,20,0.8963999999999998,,,60.0,,5.5104757499999995
4,174.0,11,300,2,16.49449682946687,16.211186823787475,417.79951307227554,0.0,483.7226985833327,16.211186823787475,25,0.8955150000000001,49,0.044557563960552216,60.0,0.005,5.5104757499999995
5,3.0,11,360,2,9.797813260024949,9.499337948569192,295.129539821025,0.0,292.1286882814027,9.499337948569192,30,0.894615,64,0.05057955160737038,60.0,0.005,5.924455
6,169.0,11,420,1,17.580105511032436,17.795992579008246,543.4473920672882,0.0,700.4615409300371,17.795992579008246,35,0.893715,79,0.018967263400554657,60.0,0.005,3.4753296666666667
7,3.0,11,480,2,7.4976756071773325,7.97255663656904,614.9216690100716,0.0,551.0424415750458,7.97255663656904,41,0.8928149999999999,94,0.06460588425397873,60.0,0.005,3.614623714285714
8,,11,480,,,,,,,,41,0.8928000000000003,,,60.0,,7.377538875
8,168.0,11,540,2,18.24337461452088,18.41473971404619,691.251039298265,0.0,385.5656435542797,18.41473971404619,46,0.8919149999999998,109,0.01703266054391861,60.0,0.005,7.377538875
9,3.0,11,568,2,8.520675576300548,8.287395382479676,306.691314752763,0.0,702.3409299720448,8.287395382479676,49,0.8914950000000003,116,0.08550447225570679,60.0,0.005,7.363909555555556
10,178.0,11,628,2,15.458560958581115,15.161070508048574,341.9889455076385,0.0,508.34879775867955,15.161070508048574,54,0.8905950000000002,131,0.014815443195402622,56.8,0.005,5.751836900000001
11,3.0,11,688,2,10.618772616721639,9.404392996177318,37.52276202772282,0.0,1123.080466906455,9.404392996177318,59,0.8896950000000001,146,0.024991659447550774,57.09090909090909,0.005,5.040766454545455
12,,11,688,,,,,,,,59,0.8896799999999997,,,57.333333333333336,,4.494269083333334
12,98.0,11,725,1,24.61321945579606,24.587131531834352,497.09594621539287,0.0,553.0863931642107,24.587131531834352,63,0.88914,156,0.0571938157081604,57.333333333333336,0.005,4.494269083333334
13,3.0,11,785,1,16.224674322399796,15.72565689191429,523.5022084601196,0.0,557.8580037308138,15.72565689191429,68,0.8882399999999999,171,0.06948165595531464,55.76923076923077,0.005,6.742354307692309
14,172.0,11,845,1,17.935883537082812,17.936282377785098,276.50775997905936,11.764754819295984,521.2873354310938,17.630546609102456,74,0.8873399999999998,186,0.041720468550920486,56.07142857142857,0.005,10.579460642857144
15,3.0,11,905,1,18.177049870217793,17.62597213991615,309.2402181178768,0.0,491.0212486971932,17.62597213991615,79,0.8864399999999998,201,0.013462415896356106,56.333333333333336,0.005,10.28871486666667
16,,11,905,,,,,,,,79,0.8864250000000002,,,56.5625,,11.772403500000001
16,171.0,11,965,1,17.7856214002557,17.361600440777483,356.10865197329593,0.0,510.8015335244853,17.361600440777483,84,0.8855399999999998,216,0.049915969371795654,56.5625,0.005,11.772403500000001
17,3.0,11,1025,2,7.971565079576458,7.734114668998609,428.5023218839933,0.0,122.39642356538457,7.734114668998609,90,0.8846399999999996,231,0.046898435801267624,56.76470588235294,0.005,11.300550647058824
18,179.0,11,1085,1,20.210884958340046,19.89447549120425,426.0102737962771,0.0,509.04737579645905,19.89447549120425,95,0.8837400000000004,246,0.02628643997013569,56.94444444444444,0.005,9.273307277777779
19,3.0,11,1141,2,8.159597125695235,7.923200935499959,126.94405699349295,0.0,958.1219973042886,7.923200935499959,100,0.8829000000000005,260,0.04342301934957504,57.10526315789474,0.005,9.860912052631578
20,,11,1141,,,,,,,,100,0.8828849999999999,,,57.05,,8.9369605
20,171.0,11,1201,1,20.995037695552664,21.08076801782491,513.4220977028748,0.0,590.9471693899906,21.08076801782491,105,0.8820000000000003,275,0.02890884131193161,57.05,0.005,8.9369605
21,3.0,11,1256,2,7.508314353267821,7.982987185899034,942.9707011473629,0.0,680.2589393476412,7.982987185899034,110,0.8811749999999999,288,0.02864370122551918,57.19047619047619,0.005,10.05313
22,164.0,11,1316,2,15.95864249719235,15.637633338276576,385.7056612713836,0.0,468.7524571297776,15.637633338276576,115,0.8802749999999999,303,0.03963058441877365,57.09090909090909,0.005,8.435385863636363
23,3.0,11,1376,2,7.971564486088276,7.73411406958733,425.00408382979094,0.0,25.328873302866214,7.73411406958733,120,0.8793749999999998,318,0.01787949725985527,57.21739130434783,0.005,8.056578434782608
24,,11,1376,,,,,,,,120,0.8793600000000001,,,57.333333333333336,,5.8257555
24,169.0,11,1436,1,18.436150233528114,18.597381334217967,520.0799717449017,0.0,713.204654449491,18.597381334217967,125,0.8784749999999997,333,0.07236160337924957,57.333333333333336,0.005,5.8257555
25,3.0,11,1496,2,7.542794724796449,8.016792793039656,878.9621986670932,0.0,382.2187491235336,8.016792793039656,130,0.8775749999999997,348,0.04547128081321716,57.44,0.005,6.068063079999999
26,157.0,11,1556,2,20.173680323729542,20.27770343674016,589.1173008639763,0.0,471.2938393206347,20.27770343674016,135,0.8766750000000004,363,0.02601523883640766,57.53846153846154,0.005,6.255963269230768
27,3.0,11,1616,1,14.691483350415265,14.904331086603388,494.0972254877979,0.0,1136.24588362995,14.904331086603388,140,0.8757750000000004,378,0.026476530358195305,57.629629629629626,0.005,7.026379444444443
28,,11,1616,,,,,,,,140,0.8757599999999999,,,57.714285714285715,,7.074567142857141
28,169.0,11,1676,2,12.67371820963467,12.489353982136688,553.247736947068,0.0,315.75694990286826,12.489353982136688,145,0.8748750000000003,393,0.04990719258785248,57.714285714285715,0.005,7.074567142857141
29,3.0,11,1720,2,11.706985361623435,12.047539721517268,747.465345622941,0.0,259.97279102959897,12.047539721517268,149,0.8742149999999996,404,0.012432016432285309,57.793103448275865,0.005,5.8671905517241365
30,119.0,11,1780,1,18.01443761964412,18.22837040783572,535.4838605490322,0.0,838.4865415363453,18.22837040783572,154,0.8733150000000004,419,0.04747835174202919,57.333333333333336,0.005,6.109522133333331
31,3.0,11,1840,1,15.98264282453877,16.325163712113866,1015.0609397109292,0.0,51.44479860976412,16.325163712113866,159,0.8724150000000004,434,0.016832778230309486,57.41935483870968,0.005,6.101950967741934
32,,11,1840,,,,,,,,159,0.8723999999999998,,,57.5,,6.004272937500001
32,156.0,11,1900,1,19.056657433960336,19.242813298037266,563.2763449668553,0.0,591.0998379285857,19.242813298037266,164,0.8715150000000003,449,0.06353569775819778,57.5,0.005,6.004272937500001
