Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/time_elapsed,Total_Lane_Changes,time/iterations,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate
0.0,10,280.2445099315797,34,3,94.0,1,2,12.521479463377032,12.521479463377032,12.078939295937642,395.4390708457511,,,,,,,,,,,,
0.0,11,506.37917340302056,94,8,3.0,2,1,15.558696786335508,15.558696786335508,17.547301961840628,266.6971999954487,-9.094755,34.0,,,,,,,,,,
0.0,11,227.9932101023964,154,13,178.0,3,2,11.81157938770953,11.81157938770953,11.408489892660137,547.8794225856767,-4.1229555,47.0,,,,,,,,,,
0.0,11,588.6215740103758,186,16,3.0,4,2,9.164647985828395,9.164647985828395,9.467003300268289,10.139464704263446,-10.195525666666667,51.333333333333336,,,,,,,,,,
0.0,11,333.09029804955003,246,22,113.0,5,2,11.207418211988351,11.207418211988351,10.763253330322792,502.7273581672508,-13.0844615,46.5,,,,,,,,,,
0.0,11,22.917559494013176,274,24,3.0,6,2,9.667642243228578,9.667642243228578,9.96445526725159,349.71094717345113,-18.7936976,49.2,,,,,,,,,,
0.0,11,212.574291205923,308,27,65.0,7,2,13.969961367196245,13.969961367196245,14.2970136025603,223.74362535632255,-17.430692,45.666666666666664,,,,,,,,,,
0.0,11,242.63463870304827,354,31,2.0,8,2,9.400846755343942,9.400846755343942,8.796481968822425,692.036913092757,-16.35748142857143,44.0,,,,,,,,,,
47.7578141075155,11,430.54938299238114,414,37,177.0,9,2,12.46532623720412,12.04846365919719,12.217734946664567,111.21225835149333,-17.100907624999998,44.25,,,,,,,,,,
78.3596962438387,11,706.8445322066553,466,41,3.0,10,2,8.411866776652486,7.451079236137602,7.451079236137602,0.0,-16.52311044444444,46.0,,,,,,,,,,
,11,,512,45,,1,,,,,,-16.348238799999997,46.6,,,,,,,,,,
1.2845851843252245,11,192.36941235955538,526,47,163.0,11,2,10.251539727601033,10.235789112182756,10.831813750378345,233.37106181361173,-16.348238799999997,46.6,10,9.70756816342473,0.018223897,1.4695796966552734,-4.815164887905121,0.012257159,-0.06334978741942905,0.277734375,0.2,0.0003
0.0,11,1108.3605009790406,586,53,2.0,12,1,15.269787050840968,15.269787050840968,15.060967217749797,255.79617028802681,-18.111022636363636,47.81818181818182,,,,,,,,,,
0.0,11,534.5163593090676,646,58,164.0,13,1,16.415489012503617,16.415489012503617,16.181821903431985,310.4248277507005,-16.62080625,48.833333333333336,,,,,,,,,,
0.0,11,364.17911930869707,676,61,3.0,14,2,7.971567955682312,7.971567955682312,7.4966671919345185,413.1683154822879,-15.395864230769233,49.69230769230769,,,,,,,,,,
48.94974871861133,11,459.1811835883883,736,66,175.0,15,2,10.865939433165197,10.480364381483756,10.633681367065709,104.21229597801648,-14.747775142857146,48.285714285714285,,,,,,,,,,
0.0,11,83.55838752439786,796,71,3.0,16,2,9.309573451341494,9.309573451341494,10.510730871515047,251.55333200514633,-14.892997733333335,49.06666666666667,,,,,,,,,,
0.30466373280482084,11,155.76151879046188,850,76,54.0,17,2,10.28746364771317,10.28746364771317,11.197878725330586,228.6220406322516,-15.642423687500001,49.75,,,,,,,,,,
0.0,11,381.323722862452,869,78,3.0,18,2,9.644305992546638,9.644305992546638,9.942394056330219,132.993974221141,-17.54252594117647,50.0,,,,,,,,,,
0.0,11,346.51643944533726,929,83,177.0,19,2,10.564733455035638,10.564733455035638,10.123885845654563,472.1260246370757,-16.68681972222222,48.27777777777778,,,,,,,,,,
0.0,11,328.62277321559804,941,84,2.0,20,2,8.32108941411597,8.32108941411597,8.554032622588707,221.2206183366559,-16.906615736842102,48.89473684210526,,,,,,,,,,
0.030482182218220088,11,153.28278486579703,993,89,149.0,21,2,11.644368235035145,11.644368235035145,12.061613897951597,177.95703547999767,-16.17930525,47.05,,,,,,,,,,
0.0,11,115.0678538781143,1019,92,3.0,22,2,9.498998395139623,9.498998395139623,9.797477061901212,260.5613726219908,-16.576155809523808,47.285714285714285,,,,,,,,,,
,11,,1024,92,,2,,,,,,-16.436830454545454,46.31818181818182,,,,,,,,,,
0.0,11,293.0858153687076,1079,98,167.0,23,2,10.411270165250823,10.411270165250823,9.941788888084755,542.7647574744533,-16.436830454545454,46.31818181818182,20,13.70133273601532,0.021667276,3.1293530464172363,-4.761535859107971,0.06109613,-0.06284939607721754,0.2880859375,0.2,0.0003
0.0,11,288.73533662725765,1129,102,3.0,24,2,8.093431662001631,8.093431662001631,7.620961690611267,725.6787801303531,-17.578410652173915,46.91304347826087,,,,,,,,,,
0.0,11,254.0273826871037,1143,103,27.0,25,2,16.749275338464546,16.749275338464546,16.73553237738573,332.9117325870431,-17.638536583333334,47.041666666666664,,,,,,,,,,
0.0,11,291.0151413577762,1186,107,3.0,26,2,8.103894682807207,8.103894682807207,7.631633556317369,656.4527375865614,-17.01613104,45.72,,,,,,,,,,
0.0,11,374.25360405687866,1246,113,172.0,27,2,10.997378329630262,10.997378329630262,10.513675677807912,510.32045657355275,-17.08360469230769,45.61538461538461,,,,,,,,,,
0.0,11,466.4542254671822,1270,115,2.0,28,2,9.643358299798305,9.643358299798305,9.941455841780346,80.17797637706451,-17.744354814814816,46.148148148148145,,,,,,,,,,
