Avg_1_headway,rollout/exploration_rate,Avg_1_speed,time/episodes,time/time_elapsed,Total_Lane_Changes,Avg_0_headway,Avg_0_speed,Avg_2_speed,Total_Crashed_Cras,Avg_2_headway,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
281.12617627253275,0.8999250000000003,23.111707145340986,0,0,8.0,297.7279957768662,23.374976280597714,23.111707145340986,2,0.0,11,6,,,,,
204.45415923603582,0.8990250000000003,15.465224259310258,1,5,3.0,597.0689682923351,17.463348706199668,15.465224259310258,1,0.0,11,66,6.0,-0.380711,,,
518.9725154872809,0.8981250000000003,11.38986061446274,2,11,160.0,259.1985246623815,10.9797813709658,11.38986061446274,2,0.0,11,126,33.0,-0.283418,0.005,5.0018768310546875,6
806.5583327186071,0.8972250000000002,8.490283545791304,3,16,3.0,175.49615101925713,8.025225450144843,8.490283545791304,2,0.0,11,186,42.0,-6.9909756666666665,0.005,0.47728344798088074,21
,0.8972099999999997,,4,16,,,,,,,11,186,46.5,-12.4450085,,,
297.0221082290087,0.8969100000000003,12.744048563188425,4,18,41.0,215.16491351897855,12.945597281159484,12.744048563188425,2,0.0,11,207,46.5,-12.4450085,0.005,0.46201157569885254,26
58.34830252201982,0.8962799999999996,7.6189096954543745,5,21,3.0,207.4043002007288,8.572958689831637,7.6189096954543745,2,0.0,11,249,41.4,-13.002820199999999,0.005,0.48789748549461365,37
265.62351211849085,0.8960549999999998,17.289008659811817,6,23,38.0,262.34738590154217,17.45180574228486,17.289008659811817,2,0.0,11,264,41.5,-12.717146166666666,0.005,0.7303640842437744,40
162.64363649074755,0.8952600000000003,7.617591903013809,7,27,3.0,0.0,8.57169421685221,7.617591903013809,2,2.9596025068142353,11,317,37.714285714285715,-10.819031571428571,0.005,0.38460320234298706,54
,0.8952449999999998,,8,27,,,,,,,11,317,39.625,-13.904399375,,,
