rollout/exploration_rate,Avg_2_headway,time/fps,Avg_4_speed,Avg_3_headway,Avg_4_headway,Avg_3_speed,Avg_1_speed,Avg_0_headway,time/total_timesteps,time/time_elapsed,Total_Lane_Changes,Total_Crashed_Cras,time/episodes,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
0.8991150000000003,189.22272412250015,10,12.109689310700674,35.591227609554,61.69302196102243,12.089389911687842,12.169467595691783,163.7496552512175,60,5,271.0,3,0,12.103132367385312,12.274788818095233,473.2260072474736,,,,,
0.8985000000000002,499.2119886175875,10,4.931189221306465,0.0,180.7677313493457,5.15144674982708,4.7109316927858504,171.61740967313494,101,9,5.0,4,1,4.931189221306465,4.521577603503225,195.17679752988658,-76.460914,60.0,,,
0.8976000000000002,104.63449692098682,10,12.224587131731386,223.26974106592613,19.471073521909965,12.228197910887463,13.022811316165809,229.53262671407327,161,15,218.0,4,2,12.33715305417292,13.724071392513444,162.00370249422056,-49.997462,50.5,15,0.005,0.49792951345443726
0.8972399999999998,261.55967879579964,10,4.747470708310329,309.5871368149435,0.0,4.747470708310329,5.39256305844609,76.40560538452394,185,18,4.0,4,3,4.962501491688916,5.92427041271192,118.05701271696103,-59.76548233333333,53.666666666666664,21,0.005,0.30856090784072876
0.8972250000000002,,10,,,,,,,185,18,,,4,,,,-51.89847725,46.25,,,
0.8963399999999997,206.680557924493,10,16.32216355322997,211.01780192237925,0.0,16.32216355322997,15.896966477752947,315.64831849542423,245,24,284.0,3,4,16.18043119473763,15.428615008300518,246.39965603050734,-51.89847725,46.25,36,0.005,0.16538141667842865
0.8954399999999996,219.501006130954,10,7.005828188523454,306.8117779959616,0.0,7.005828188523454,5.459474961837288,354.7716661945957,305,30,5.0,4,5,6.490377112961399,4.190439524375369,611.4751973606509,-48.3961422,49.0,51,0.005,0.1857164353132248
0.89502,268.5489659933776,10,14.289754898394815,170.22371655158028,0.0,14.289754898394815,13.861988892053388,117.1909093445615,333,33,138.0,4,6,14.147166229614344,13.508527237621177,241.5115693818098,-48.99492383333333,50.833333333333336,58,0.005,0.048063039779663086
0.8944649999999998,67.89105858639005,10,5.73003567267396,144.28801809817583,0.0,5.73003567267396,6.121667440726682,131.90651822065718,370,36,5.0,4,7,5.8605795953582005,6.443065156987776,550.779444463702,-47.244525,47.57142857142857,67,0.005,0.23109851777553558
0.8944500000000003,,10,,,,,,,370,36,,,8,,,,-45.9164975,46.25,,,
0.8942100000000001,195.8625147417641,10,14.640239058407749,159.74292056577568,0.0,14.640239058407749,14.816493723033823,244.75270498406402,387,38,61.0,4,8,14.698990613283103,14.959337176371918,190.48014463473,-45.9164975,46.25,71,0.005,0.10068009048700333
0.89331,148.79192617701688,10,10.382465515937486,44.705645435035876,0.0,10.382465515937486,10.397510679940691,277.1480769271244,447,44,5.0,3,9,10.387480570605222,10.405450660437378,701.9902391070261,-43.092611444444444,43.0,86,0.005,0.14310401678085327
0.8928600000000004,123.34520884167256,10,9.415267608563719,146.14734014444534,0.0,9.415267608563719,9.775660841245601,244.88843069168917,477,47,139.0,4,10,9.516642623975418,10.077080258553885,305.23874612806924,-43.3767513,44.7,94,0.005,0.11635671555995941
0.8919600000000003,730.0618336928242,10,12.333118973596957,171.7643235404562,0.0,12.333118973596957,10.407732890729985,142.6285657403197,537,53,5.0,3,11,11.691323612641298,8.822085414691157,222.66957962836034,-42.96326718181818,43.36363636363637,109,0.005,0.24508243799209595
0.8919449999999999,,10,,,,,,,537,53,,,12,,,,-43.27614208333333,44.75,,,
0.8912999999999996,368.5418760059068,10,13.211068504737364,156.5793550217741,0.0,13.211068504737364,12.150488286802233,258.7055263839462,581,57,213.0,4,12,12.857541765425653,11.27603828779825,155.3082180768173,-43.27614208333333,44.75,120,0.005,0.05741996318101883
0.8904000000000004,47.199771537893184,10,5.027754578553269,0.0,370.58205620166564,5.14950927669072,4.905999880415818,865.396417785471,641,63,3.0,4,13,5.027754578553269,4.783910747443137,238.04938715649473,-43.59656376923078,44.69230769230769,135,0.005,0.06417998671531677
0.88998,181.81360497788768,10,12.848586358095412,227.50378415823465,12.778691593160884,12.85278479596222,13.518301050905956,190.10041852071967,669,66,113.0,4,14,13.0732240683212,14.070260927592098,127.23951955032344,-49.01960407142858,45.785714285714285,142,0.005,0.2559690475463867
0.8890799999999999,736.8666534892077,10,4.932305787933868,0.0,417.86097810199703,5.152553665460843,4.712057910406893,178.66591955842785,729,72,5.0,4,15,4.932305787933868,4.522712170776353,149.74145903109172,-47.92361013333334,44.6,157,0.005,0.15305082499980927
0.8890650000000003,,10,,,,,,,729,72,,,16,,,,-49.891519,45.5625,,,
0.8881799999999999,81.67216884976197,10,7.691420174226391,172.0838608122251,50.984856015857716,7.695030795169455,7.953681999734497,117.87068874714784,789,78,175.0,4,16,7.623797421555181,8.21071438159191,442.1968096011031,-49.891519,45.5625,172,0.005,0.1754336804151535
0.8875949999999997,507.68644444113363,10,6.16271296277727,0.0,230.89231662021052,6.438045881423317,5.887380044131224,116.99006777813668,828,82,4.0,4,17,6.16271296277727,5.650677908852259,227.52235586852214,-54.822713588235295,46.411764705882355,181,0.005,0.1373903602361679
0.8866949999999996,165.9202649358553,10,6.791196285734687,166.5934432690921,3.7851199445936152,6.79570994013872,7.062382681952502,107.54190000203415,888,88,278.0,4,18,6.883096302608634,7.303894485073571,201.90199319186888,-55.35303661111111,46.0,196,0.005,0.18737436830997467
