time/episodes,Total_Lane_Changes,time/fps,time/total_timesteps,Total_Crashed_Cras,Avg_0_speed,Avg_1_speed,Avg_1_headway,Avg_2_headway,Avg_0_headway,Avg_2_speed,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
0,43.0,12,27,2,16.40917419441453,16.516431287881264,94.44100266084389,13.766394433365726,204.15105702420735,16.11802193273916,2,0.8996099999999996,,,,,
1,2.0,12,32,2,10.222127805790766,10.006706317698477,205.77550138065578,0.0,195.25256018434675,10.006706317698477,2,0.899535,27.0,-1.023689,,,
2,17.0,12,42,2,15.682673325706299,15.546257613725128,207.19055733774331,0.0,192.28946696285138,15.546257613725128,3,0.8993849999999999,16.0,-1.5834745000000001,,,
3,2.0,12,102,1,17.47387460401076,15.476956433957238,271.97151175066074,0.0,447.652146638761,15.476956433957238,8,0.8984849999999998,14.0,-2.281444,,,
4,,12,102,,,,,,,,8,0.8984700000000001,25.5,-1.5461084999999999,,,
4,44.0,12,118,2,14.52517635903855,14.220759192940921,167.42312194013365,0.0,269.5292765135301,14.220759192940921,9,0.8982450000000004,25.5,-1.5461084999999999,4,0.2127566933631897,0.005
5,3.0,12,178,2,9.320712411647769,9.9153192239978,683.2667991864968,0.0,461.74880140565847,9.9153192239978,14,0.8973450000000003,23.6,-2.6776728,19,0.09485936164855957,0.005
6,43.0,12,194,2,16.584936982759277,16.821024964058758,294.562191289236,0.0,171.1098692642276,16.821024964058758,15,0.897105,29.666666666666668,-8.168130166666666,23,0.08795198798179626,0.005
7,3.0,12,254,2,7.496773910721028,7.971672586017116,753.679536292826,0.0,381.14803234787814,7.971672586017116,20,0.8962049999999999,27.714285714285715,-7.379547857142858,38,0.05276546627283096,0.005
8,,12,254,,,,,,,,20,0.8961900000000004,31.75,-9.986080625,,,
8,110.0,12,314,2,12.498537091976807,13.182429137149429,54.40505019304058,192.00825714268208,321.1000600548401,12.383357241139796,25,0.8953049999999999,31.75,-9.986080625,53,0.048950206488370895,0.005
9,2.0,12,335,2,9.919590658775556,9.622329882136512,179.8629024585199,0.0,96.16502571695241,9.622329882136512,27,0.89499,34.888888888888886,-11.621079666666667,58,0.08352909237146378,0.005
10,16.0,12,343,2,20.48086436775401,20.534641811535064,212.19470539268258,0.0,209.8208702866217,20.534641811535064,27,0.8948699999999998,33.5,-10.495914699999998,60,0.03447086736559868,0.005
