Avg_1_headway,Avg_1_speed,time/iterations,time/time_elapsed,Total_Lane_Changes,Avg_0_headway,Avg_0_speed,Avg_2_speed,Total_Crashed_Cras,Avg_2_headway,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance
517.8665887477007,12.601101535053187,1,6,172.0,200.3376802160996,12.176149645668785,12.601101535053187,2,0.0,9,60,,,,,,,,,,,,
0.0,10.510882854817758,2,12,3.0,734.9911167526926,9.30973184333671,9.30973184333671,2,107.12096851372257,9,116,60.0,-11.866892,,,,,,,,,,
214.21373180705945,14.64187628701531,3,15,88.0,269.30278743662046,14.935485325222885,14.60312948019334,2,3.4555151133458897,9,146,58.0,-12.9483925,,,,,,,,,,
295.27108945769714,16.24147091470149,4,21,3.0,760.7432682745891,16.093104510230937,16.24147091470149,1,0.0,9,206,48.666666666666664,-9.702951666666667,,,,,,,,,,
285.86805708999793,22.16493003632983,5,22,8.0,358.4960950490776,22.320716198853322,22.16493003632983,2,0.0,9,211,51.5,-6.78719725,,,,,,,,,,
0.0,13.86927157677935,6,28,2.0,391.0449959791222,13.86927157677935,0.00019566808681189816,2,129.1179989703785,9,271,42.2,-5.6429558,,,,,,,,,,
240.47159448768474,18.509990003714773,7,29,8.0,304.50378624797827,18.70891120158957,16.9689815694156,2,14.346444330042054,9,279,45.166666666666664,-5.1858778333333335,,,,,,,,,,
165.67337018577393,7.754614837846047,8,31,3.0,380.8770137637206,7.992693555032849,7.754614837846047,2,0.0,9,296,39.857142857142854,-4.842669285714286,,,,,,,,,,
225.03786836766133,13.029211696464087,9,33,64.0,330.68342063917254,13.251684579799996,13.029211696464087,2,0.0,9,318,37.0,-4.871148375000001,,,,,,,,,,
340.81298819219455,15.286916987634196,10,39,3.0,731.7972450794207,15.078314242682332,15.286916987634196,1,0.0,9,378,35.333333333333336,-4.970067555555556,,,,,,,,,,
284.47264587362326,17.04821563906553,11,41,54.0,360.2536141492038,16.984464643083818,17.04821563906553,2,0.0,9,397,37.8,-3.9547303000000005,,,,,,,,,,
0.0,8.960087073246253,12,48,3.0,842.3419626027621,8.01819325006698,8.01819325006698,2,205.26432821393587,9,457,36.09090909090909,-3.839672454545455,,,,,,,,,,
263.66846017396193,18.095600258388664,13,51,88.0,390.53694260928023,17.917512943884557,18.068689006297827,2,5.864695091826739,9,491,38.083333333333336,-4.763354583333334,,,,,,,,,,
,,1,53,,,,,,,9,512,37.76923076923077,-4.01080876923077,,,,,,,,,,
51.260013375360586,7.754610670081336,14,61,2.0,436.481872052329,7.9926894289513735,7.754610670081336,2,0.0,8,521,37.76923076923077,-4.01080876923077,7.270334832370281,0.31640625,0.0003,-0.05204322612844407,0.2,-4.814412572979927,2.7961504459381104,10,0.020420123,0.0047734976
235.42825790414892,15.39197609718449,15,65,131.0,458.93284525787567,15.383757644605241,15.39197609718449,2,0.0,8,570,37.214285714285715,-3.7822653571428577,,,,,,,,,,
768.351398751116,9.549262149570708,16,71,2.0,275.8771671232074,8.947858129471497,9.549262149570708,2,0.0,8,630,38.0,-3.5071776666666667,,,,,,,,,,
276.55859294704914,15.150650309319682,17,77,149.0,230.04299853766906,15.297283259097021,15.150650309319682,2,0.0,8,690,39.375,-3.8407145624999997,,,,,,,,,,
134.28368377242236,7.803232473271904,18,79,2.0,499.8700069939262,8.04082497281455,7.803232473271904,2,0.0,8,711,40.588235294117645,-2.9200554117647055,,,,,,,,,,
488.1686747912705,11.950466294284295,19,85,149.0,212.84585198517578,11.573584574780448,11.950466294284295,2,0.0,8,767,39.5,-3.4589330555555553,,,,,,,,,,
168.6367661911986,9.119046555592279,20,87,3.0,368.07610057042274,9.421857921580376,9.119046555592279,2,0.0,8,783,40.36842105263158,-4.171442684210525,,,,,,,,,,
529.2215189271001,12.167779923897312,21,93,166.0,275.91282790402204,11.748570347948833,12.167779923897312,2,0.0,9,843,39.15,-4.08103185,,,,,,,,,,
702.990848489151,8.138466119449001,22,98,3.0,237.64958971761155,7.66689504352523,8.138466119449001,2,0.0,9,886,40.142857142857146,-5.2548381428571425,,,,,,,,,,
287.8990968271826,17.265648369858383,23,104,177.0,616.9192456568952,17.036920916797712,17.265648369858383,1,0.0,9,946,40.27272727272727,-6.172598772727272,,,,,,,,,,
752.4563673970534,8.538535482280455,24,109,3.0,337.0372422753011,8.074440503911598,8.538535482280455,2,0.0,9,998,41.130434782608695,-5.960503869565217,,,,,,,,,,
296.34152195535086,12.98792363764436,25,112,70.0,220.61576934748075,13.189964571523005,12.98792363764436,2,0.0,9,1023,41.583333333333336,-6.464053083333333,,,,,,,,,,
,,2,112,,,,,,,9,1024,40.92,-6.36781472,,,,,,,,,,
137.23092791490183,8.284190930822282,26,120,3.0,349.6017284494227,8.51750317345623,8.284190930822282,2,0.0,8,1042,40.92,-6.36781472,18.17796665430069,0.2107421875,0.0003,-0.03644724158803001,0.2,-4.789198079705239,5.566593647003174,20,0.02054806,0.0
506.17534903472745,12.061572234387146,27,126,173.0,244.85911325049423,11.631093032871695,12.061572234387146,2,0.0,8,1102,40.07692307692308,-6.203162538461539,,,,,,,,,,
308.3425371896085,21.331838583143067,28,127,3.0,270.171070752371,21.201420871065636,21.331838583143067,2,0.0,8,1111,40.81481481481482,-6.448337962962963,,,,,,,,,,
